p1,p2,probability,stk on start,stk on destination,prj on start,prj on destination,risk on start,risk on destination
"Crash risk, Elsevier Ltd.",Safety,0.5365853658536586,1,1,0,0,1,0
"Crash risk, Elsevier Ltd., ON",Safety,0.5434782608695652,2,1,0,0,1,0
"Crash risk, Research",Safety,0.599476439790576,1,1,0,0,1,0
"Crash risk, Research","Safety, ON",0.5471204188481675,1,2,0,0,1,0
"Crash risk, Research, ON",Safety,0.6371951219512195,2,1,0,0,1,0
"Crash risk, TIME",Safety,0.5797413793103449,1,1,0,0,1,0
"Crash risk, TIME, ON",Safety,0.5882352941176471,2,1,0,0,1,0
Crash risk,Safety,0.5867704280155642,0,1,0,0,1,0
"Crash risk, ON",Safety,0.6013257575757576,1,1,0,0,1,0
"Planning, Disaster risk",Management,0.5368852459016393,1,1,0,0,1,0
"PURPOSE, Disaster risk",Research,0.5813008130081301,1,1,0,0,1,0
"Communities, Disaster risk",Community,0.5181159420289855,1,1,0,0,1,0
"Farmers, IMPACTS",Climate,0.5754385964912281,2,1,0,0,0,0
"Farmers, IMPACTS, ON",Climate,0.5587044534412956,3,1,0,0,0,0
"PURPOSE, Practitioners",Research,0.6146341463414634,2,1,0,0,0,0
"Understanding, Practitioners",Research,0.5274725274725275,2,1,0,0,0,0
"Understanding, Practitioners, ON",Research,0.543859649122807,3,1,0,0,0,0
"Interval, Management",Method,0.5444015444015444,2,1,0,0,0,0
"Social, Sustainable Development",Economic,0.571072319201995,2,1,0,0,0,0
"Social, Sustainable Development, ON",Economic,0.5666666666666667,3,1,0,0,0,0
"Correlation, PB",CU,0.7073170731707317,2,1,0,0,0,0
"Correlation, CU",PB,0.8579881656804734,2,1,0,0,0,0
"mu, PB",CU,0.5100401606425703,2,1,0,0,0,0
"mu, CU",PB,0.6978021978021978,2,1,0,0,0,0
"PB, Research",CU,0.6255924170616114,2,1,0,0,0,0
"CU, Research",PB,0.7096774193548387,2,1,0,0,0,0
"Characteristics, PB",CU,0.6893203883495146,2,1,0,0,0,0
"Characteristics, CU",PB,0.7553191489361702,2,1,0,0,0,0
"uRban, PB",CU,0.6733067729083665,2,1,0,0,0,0
"uRban, CU",PB,0.8711340206185567,2,1,0,0,0,0
"CU, -1",MG,0.698019801980198,2,1,0,0,0,0
"PB, -1",CU,0.6024590163934426,2,1,0,0,0,0
"CU, -1",PB,0.7277227722772277,2,1,0,0,0,0
"ACID, PB",CU,0.6633663366336634,2,1,0,0,0,0
"ACID, CU",PB,0.6504854368932039,2,1,0,0,0,0
"LEAD, CU",PB,0.9047619047619048,2,1,0,0,0,0
"The risk, PB",CU,0.6076923076923076,1,1,0,0,1,0
"The risk, CU",PB,0.728110599078341,1,1,0,0,1,0
"Method, PB",CU,0.6345381526104418,2,1,0,0,0,0
"Method, CU",PB,0.7181818181818181,2,1,0,0,0,0
"MAIN, PB",CU,0.6868327402135231,2,1,0,0,0,0
"MAIN, CU",PB,0.7845528455284553,2,1,0,0,0,0
"Chemical, PB",CU,0.5921052631578947,2,1,0,0,0,0
"Chemical, CU",PB,0.6741573033707865,2,1,0,0,0,0
"Health risk, PB, ON",CU,0.6208530805687204,2,1,0,0,1,0
"Health risk, CU, ON",PB,0.8136645962732919,2,1,0,0,1,0
"Health risk, PB",CU,0.6493506493506493,1,1,0,0,1,0
"Health risk, CU",PB,0.8503401360544217,1,1,0,0,1,0
"Content, PB, ON",CU,0.6053811659192825,3,1,0,0,0,0
"Content, CU, ON",PB,0.6887755102040817,3,1,0,0,0,0
"Content, PB",CU,0.6648351648351648,2,1,0,0,0,0
"Content, CU",PB,0.7245508982035929,2,1,0,0,0,0
"ORder, PB, ON",CU,0.7405857740585774,3,1,0,0,0,0
"ORder, CU, ON",PB,0.8271028037383178,3,1,0,0,0,0
"ORder, PB",CU,0.7566909975669099,2,1,0,0,0,0
"ORder, CU",PB,0.8405405405405405,2,1,0,0,0,0
"MG, PB, ON",CU,0.625,3,1,0,0,0,0
"MG, CU, ON",PB,0.6981132075471698,3,1,0,0,0,0
"MG, PB",CU,0.6673003802281369,2,1,0,0,0,0
"MG, CU",PB,0.7532188841201717,2,1,0,0,0,0
"PB, ON",CU,0.6021959459459459,2,1,0,0,0,0
"CU, ON",PB,0.6726415094339623,2,1,0,0,0,0
PB,CU,0.6309760956175299,1,1,0,0,0,0
CU,PB,0.7121978639685217,1,1,0,0,0,0
"Agriculture, Social",Economic,0.568075117370892,2,1,0,0,0,0
"Agriculture, IMPACTS",Climate,0.5213903743315508,2,1,0,0,0,0
"Agriculture, IMPACTS, ON",Climate,0.5327380952380952,3,1,0,0,0,0
"Learning, Validation",Machine,0.6666666666666666,2,1,0,0,0,0
"Machine, Validation",Learning,0.7471264367816092,2,1,0,0,0,0
"PURPOSE, Contributes",Research,0.6454545454545455,2,1,0,0,0,0
"PURPOSE, Contributes","ON, Research",0.5636363636363636,2,2,0,0,0,0
"PURPOSE, Contributes, ON",Research,0.6492146596858639,3,1,0,0,0,0
"PB, -1",MG,0.7049180327868853,2,1,0,0,0,0
"LEAD, MG",PB,0.5078740157480315,2,1,0,0,0,0
"Machine, Networks",Learning,0.8,2,1,0,0,0,0
"Machine, HELP",Learning,0.6553398058252428,2,1,0,0,0,0
"Machine, State",Learning,0.5789473684210527,2,1,0,0,0,0
"Machine, MAIN",Learning,0.568075117370892,2,1,0,0,0,0
"Machine, Management",Learning,0.5914634146341463,2,1,0,0,0,0
"Machine, Management, ON",Learning,0.6015625,3,1,0,0,0,0
"Machine, Research",Learning,0.6321585903083701,2,1,0,0,0,0
"Machine, Research, ON",Learning,0.6281690140845071,3,1,0,0,0,0
"Safety, Machine, ON",Learning,0.5092348284960422,3,1,0,0,0,0
"Machine, TIME",Learning,0.589171974522293,2,1,0,0,0,0
"Machine, TIME, ON",Learning,0.5956175298804781,3,1,0,0,0,0
Machine,Learning,0.5552973977695167,1,1,0,0,0,0
"Machine, ON",Learning,0.5628048780487804,2,1,0,0,0,0
"Understanding, Science, ON",Research,0.5253623188405797,3,1,0,0,0,0
"Science, Social",Research,0.5261958997722096,2,1,0,0,0,0
"Science, Social, ON",Research,0.5373563218390804,3,1,0,0,0,0
"CAR, CONCLUSIONS",Safety,0.5327868852459017,2,1,0,0,0,0
"CAR, Characteristics",Safety,0.5041551246537396,2,1,0,0,0,0
"CAR, Characteristics, ON",Safety,0.525974025974026,3,1,0,0,0,0
"CAR, TIME, ON",Safety,0.5094017094017094,3,1,0,0,0,0
"Workers, Management",Safety,0.5244755244755245,2,1,0,0,0,0
"Workers, Management, ON",Safety,0.5347432024169184,3,1,0,0,0,0
"RISE, Planning",SEA,0.6081081081081081,2,1,0,0,0,0
"RISE, Coastal, IMPACTS",SEA,0.944055944055944,3,1,0,0,0,0
"RISE, SEA, IMPACTS",Coastal,0.5947136563876652,3,1,0,0,0,0
"SEA, Coastal, IMPACTS",RISE,0.6716417910447762,3,1,0,0,0,0
"RISE, IMPACTS",Climate,0.601063829787234,2,1,0,0,0,0
"RISE, SEA, IMPACTS",Climate,0.748898678414097,3,1,0,0,0,0
"RISE, Climate, IMPACTS",SEA,0.7522123893805309,3,1,0,0,0,0
"SEA, Climate, IMPACTS",RISE,0.6995884773662552,3,1,0,0,0,0
"RISE, SEA, IMPACTS","Climate, ON",0.6035242290748899,3,2,0,0,0,0
"RISE, Climate, IMPACTS","SEA, ON",0.6061946902654868,3,2,0,0,0,0
"SEA, Climate, IMPACTS","RISE, ON",0.5637860082304527,3,2,0,0,0,0
"RISE, SEA, IMPACTS, ON",Climate,0.7486338797814208,4,1,0,0,0,0
"RISE, Climate, IMPACTS, ON",SEA,0.7486338797814208,4,1,0,0,0,0
"SEA, Climate, IMPACTS, ON",RISE,0.685,4,1,0,0,0,0
"RISE, IMPACTS, ON",Climate,0.5922330097087378,3,1,0,0,0,0
"RISE, IMPACTS",SEA,0.6037234042553191,2,1,0,0,0,0
"SEA, IMPACTS",RISE,0.5456730769230769,2,1,0,0,0,0
"RISE, IMPACTS, ON",SEA,0.5922330097087378,3,1,0,0,0,0
"SEA, IMPACTS, ON",RISE,0.5289017341040463,3,1,0,0,0,0
"RISE, Coastal",Climate,0.5807962529274004,2,1,0,0,0,0
"RISE, Coastal, ON",Climate,0.5897435897435898,3,1,0,0,0,0
"RISE, Coastal, Climate","SEA, ON",0.6774193548387096,3,2,0,0,0,0
"RISE, Coastal, ON","SEA, Climate",0.5384615384615384,3,2,0,0,0,0
"SEA, Coastal, Climate","RISE, ON",0.5201238390092879,3,2,0,0,0,0
"RISE, Coastal, SEA, ON",Climate,0.6064981949458483,4,1,0,0,0,0
"RISE, Coastal, Climate, ON",SEA,0.9130434782608696,4,1,0,0,0,0
"SEA, Coastal, Climate, ON",RISE,0.6970954356846473,4,1,0,0,0,0
"RISE, SEA, Climate, ON",Coastal,0.5316455696202531,4,1,0,0,0,0
"RISE, Coastal","SEA, Climate",0.5433255269320844,2,2,0,0,0,0
"RISE, Coastal, SEA",Climate,0.596401028277635,3,1,0,0,0,0
"RISE, Coastal, Climate",SEA,0.935483870967742,3,1,0,0,0,0
"RISE, SEA, Climate",Coastal,0.5672371638141809,3,1,0,0,0,0
"SEA, Coastal, Climate",RISE,0.718266253869969,3,1,0,0,0,0
"RISE, Coastal","SEA, ON",0.6487119437939111,2,2,0,0,0,0
"RISE, Coastal, ON",SEA,0.8878205128205128,3,1,0,0,0,0
"RISE, SEA, ON",Coastal,0.5687885010266941,3,1,0,0,0,0
"RISE, Coastal",SEA,0.911007025761124,2,1,0,0,0,0
"RISE, SEA",Coastal,0.6003086419753086,2,1,0,0,0,0
"RISE, SEA",Climate,0.6311728395061729,2,1,0,0,0,0
"RISE, Climate",SEA,0.6400625978090767,2,1,0,0,0,0
"SEA, Climate",RISE,0.5953420669577875,2,1,0,0,0,0
"RISE, SEA, ON",Climate,0.648870636550308,3,1,0,0,0,0
"RISE, Climate, ON",SEA,0.635814889336016,3,1,0,0,0,0
"SEA, Climate, ON",RISE,0.5862708719851577,3,1,0,0,0,0
"SEA, Communities",Coastal,0.6939890710382514,2,1,0,0,0,0
"SEA, IMPACTS",Climate,0.5841346153846154,2,1,0,0,0,0
"SEA, IMPACTS, ON",Climate,0.5780346820809249,3,1,0,0,0,0
"Social, OBJECTIVES",Economic,0.5250836120401338,2,1,0,0,0,0
"Method, CONCLUSIONS, Elsevier Ltd.",Safety,0.5372549019607843,3,1,0,0,0,0
"Safety, CONCLUSIONS, Elsevier Ltd.",Method,0.5111940298507462,3,1,0,0,0,0
"SAFE, Operations",Safety,0.5055762081784386,2,1,0,0,0,0
"Social, Sustainability, Research",Economic,0.5415162454873647,3,1,0,0,0,0
"Social, Sustainability",Economic,0.5725,2,1,0,0,0,0
"Social, Sustainability, ON",Economic,0.5763993948562783,3,1,0,0,0,0
"PURPOSE, Communities",Research,0.5221843003412969,2,1,0,0,0,0
"Communities, Community, Economic",Social,0.5181518151815182,3,1,0,0,0,0
"Communities, Community, Economic, ON",Social,0.5341880341880342,4,1,0,0,0,0
"Technologies, Carbon, ON",Energy,0.5172413793103449,3,1,0,0,0,0
"Social, Regional",Economic,0.5423728813559322,2,1,0,0,0,0
"Social, Regional, ON",Economic,0.5632530120481928,3,1,0,0,0,0
"Social, Carbon",Climate,0.5094339622641509,2,1,0,0,0,0
"Types, SAFE",Safety,0.5087209302325582,2,1,0,0,0,0
"Types, SAFE, ON",Safety,0.5335689045936396,3,1,0,0,0,0
"Social, GROWTH",Economic,0.583710407239819,2,1,0,0,0,0
"Social, GROWTH, ON",Economic,0.5988700564971752,3,1,0,0,0,0
"Social, EFFICIENT",Economic,0.5143884892086331,2,1,0,0,0,0
"Social, Energy",Economic,0.51138353765324,2,1,0,0,0,0
"Social, Energy, ON",Economic,0.5265486725663717,3,1,0,0,0,0
"Social, COST",Economic,0.5135542168674698,2,1,0,0,0,0
"Social, COST, ON",Economic,0.51,3,1,0,0,0,0
"Social, IMPACTS, Management",Economic,0.51171875,3,1,0,0,0,0
