p1,p2,probability,stk on start,stk on destination,prj on start,prj on destination,risk on start,risk on destination
"HG, CU","PB, ON",0.5164473684210527,2,2,0,0,0,0
"HG, PB, ON",CU,0.6946902654867256,3,1,0,0,0,0
"HG, CU, ON",PB,0.8870056497175142,3,1,0,0,0,0
"HG, PB",CU,0.6913265306122449,2,1,0,0,0,0
"HG, CU",PB,0.8914473684210527,2,1,0,0,0,0
HG,PB,0.5544554455445545,1,1,0,0,0,0
"HG, ON",PB,0.5472154963680388,2,1,0,0,0,0
"Safety risk, Management",Safety,0.8177339901477833,2,1,0,0,1,0
"Safety risk, Management","Safety, ON",0.6650246305418719,2,2,0,0,1,0
"Safety risk, Management, ON",Safety,0.7988165680473372,3,1,0,0,1,0
"Safety risk, Research",Safety,0.7632850241545893,2,1,0,0,1,0
"Safety risk, Research","Safety, ON",0.6280193236714976,2,2,0,0,1,0
"Safety risk, Research, ON",Safety,0.7692307692307693,3,1,0,0,1,0
"Safety risk, Method",Safety,0.6612903225806451,2,1,0,0,1,0
"Safety risk, Method","Safety, ON",0.5846774193548387,2,2,0,0,1,0
"Method, Safety risk, ON",Safety,0.6904761904761905,3,1,0,0,1,0
Safety risk,Safety,0.6666666666666666,1,1,0,0,1,0
Safety risk,"Safety, ON",0.5559947299077734,1,2,0,0,1,0
"Safety risk, ON",Safety,0.6817447495961227,2,1,0,0,1,0
"Learning, ML",Machine,0.9928571428571428,2,1,0,0,0,0
"ML, Machine",Learning,0.9652777777777778,2,1,0,0,0,0
"National Safety Council, WHO",Elsevier Ltd.,0.8625,2,1,0,0,0,0
"TIME, National Safety Council",Method,0.6837209302325581,2,1,0,0,0,0
"TIME, National Safety Council","Method, ON",0.6139534883720931,2,2,0,0,0,0
"TIME, National Safety Council, ON",Method,0.7058823529411765,3,1,0,0,0,0
"TIME, National Safety Council","Method, Elsevier Ltd., ON",0.5627906976744186,2,3,0,0,0,0
"Method, TIME, National Safety Council","Elsevier Ltd., ON",0.8231292517006803,3,2,0,0,0,0
"TIME, National Safety Council, Elsevier Ltd.","Method, ON",0.657608695652174,3,2,0,0,0,0
"TIME, National Safety Council, ON","Method, Elsevier Ltd.",0.6470588235294118,3,2,0,0,0,0
"Method, TIME, National Safety Council, ON",Elsevier Ltd.,0.9166666666666666,4,1,0,0,0,0
"TIME, National Safety Council, Elsevier Ltd., ON",Method,0.7515527950310559,4,1,0,0,0,0
"TIME, National Safety Council","Method, Elsevier Ltd.",0.6325581395348837,2,2,0,0,0,0
"Method, TIME, National Safety Council",Elsevier Ltd.,0.9251700680272108,3,1,0,0,0,0
"TIME, National Safety Council, Elsevier Ltd.",Method,0.7391304347826086,3,1,0,0,0,0
"TIME, National Safety Council",Elsevier Ltd.,0.8558139534883721,2,1,0,0,0,0
"TIME, National Safety Council","Elsevier Ltd., ON",0.7488372093023256,2,2,0,0,0,0
"TIME, National Safety Council, ON",Elsevier Ltd.,0.8609625668449198,3,1,0,0,0,0
"National Safety Council, Research",Safety,0.5609756097560976,2,1,0,0,0,0
"National Safety Council, Research","Safety, Elsevier Ltd.",0.516260162601626,2,2,0,0,0,0
"Safety, National Safety Council, Research",Elsevier Ltd.,0.9202898550724636,3,1,0,0,0,0
"National Safety Council, Elsevier Ltd., Research",Safety,0.5990566037735849,3,1,0,0,0,0
"National Safety Council, Research",Method,0.6626016260162602,2,1,0,0,0,0
"National Safety Council, Research","Method, ON",0.5934959349593496,2,2,0,0,0,0
"National Safety Council, Research, ON",Method,0.6822429906542056,3,1,0,0,0,0
"National Safety Council, Research","Method, Elsevier Ltd., ON",0.532520325203252,2,3,0,0,0,0
"Method, National Safety Council, Research","Elsevier Ltd., ON",0.803680981595092,3,2,0,0,0,0
"National Safety Council, Elsevier Ltd., Research","Method, ON",0.6179245283018868,3,2,0,0,0,0
"ON, National Safety Council, Research","Method, Elsevier Ltd.",0.6121495327102804,3,2,0,0,0,0
"Method, ON, National Safety Council, Research",Elsevier Ltd.,0.8972602739726028,4,1,0,0,0,0
"ON, National Safety Council, Elsevier Ltd., Research",Method,0.7043010752688172,4,1,0,0,0,0
"National Safety Council, Research","Method, Elsevier Ltd.",0.6016260162601627,2,2,0,0,0,0
"Method, National Safety Council, Research",Elsevier Ltd.,0.9079754601226994,3,1,0,0,0,0
"National Safety Council, Elsevier Ltd., Research",Method,0.6981132075471698,3,1,0,0,0,0
"National Safety Council, Research",Elsevier Ltd.,0.8617886178861789,2,1,0,0,0,0
"National Safety Council, Research","Elsevier Ltd., ON",0.7560975609756098,2,2,0,0,0,0
"National Safety Council, Research, ON",Elsevier Ltd.,0.8691588785046729,3,1,0,0,0,0
"CONCLUSIONS, National Safety Council",Safety,0.5382165605095541,2,1,0,0,0,0
"CONCLUSIONS, National Safety Council, ON",Safety,0.5490196078431373,3,1,0,0,0,0
"Safety, CONCLUSIONS, National Safety Council","Elsevier Ltd., ON",0.8165680473372781,3,2,0,0,0,0
"Safety, CONCLUSIONS, Elsevier Ltd.","National Safety Council, ON",0.5149253731343284,3,2,0,0,0,0
"CONCLUSIONS, National Safety Council, ON","Safety, Elsevier Ltd.",0.5411764705882353,3,2,0,0,0,0
"Safety, CONCLUSIONS, National Safety Council, ON",Elsevier Ltd.,0.9857142857142858,4,1,0,0,0,0
"Safety, CONCLUSIONS, Elsevier Ltd., ON",National Safety Council,0.6359447004608295,4,1,0,0,0,0
"CONCLUSIONS, National Safety Council, Elsevier Ltd., ON",Safety,0.5542168674698795,4,1,0,0,0,0
"CONCLUSIONS, National Safety Council","Safety, Elsevier Ltd.",0.5318471337579618,2,2,0,0,0,0
"Safety, CONCLUSIONS, National Safety Council",Elsevier Ltd.,0.9881656804733728,3,1,0,0,0,0
"Safety, CONCLUSIONS, Elsevier Ltd.",National Safety Council,0.6231343283582089,3,1,0,0,0,0
"CONCLUSIONS, National Safety Council, Elsevier Ltd.",Safety,0.5422077922077922,3,1,0,0,0,0
"CONCLUSIONS, National Safety Council",Method,0.6305732484076433,2,1,0,0,0,0
"CONCLUSIONS, National Safety Council","Method, ON",0.5254777070063694,2,2,0,0,0,0
"CONCLUSIONS, National Safety Council, ON",Method,0.6470588235294118,3,1,0,0,0,0
"CONCLUSIONS, National Safety Council","Method, Elsevier Ltd., ON",0.5191082802547771,2,3,0,0,0,0
"Method, CONCLUSIONS, National Safety Council","Elsevier Ltd., ON",0.8232323232323232,3,2,0,0,0,0
"CONCLUSIONS, National Safety Council, Elsevier Ltd.","Method, ON",0.5292207792207793,3,2,0,0,0,0
"CONCLUSIONS, National Safety Council, ON","Method, Elsevier Ltd.",0.6392156862745098,3,2,0,0,0,0
"Method, CONCLUSIONS, Elsevier Ltd.","National Safety Council, ON",0.6392156862745098,3,2,0,0,0,0
"Method, CONCLUSIONS, National Safety Council, ON",Elsevier Ltd.,0.987878787878788,4,1,0,0,0,0
"CONCLUSIONS, National Safety Council, Elsevier Ltd., ON",Method,0.6546184738955824,4,1,0,0,0,0
"Method, CONCLUSIONS, Elsevier Ltd., ON",National Safety Council,0.7688679245283019,4,1,0,0,0,0
"CONCLUSIONS, National Safety Council","Method, Elsevier Ltd.",0.6242038216560509,2,2,0,0,0,0
