,Words
0,"['uses risk', 'accident risk', 'operation risk']"
1,"['safety risk', 'interrelationships']"
2,"['early risk', 'aggregate risk', 'infrastructures', 'paramount', 'aggregate', 'unit', 'insufficient']"
3,"['uses risk', 'accident risk', 'operation risk']"
4,"['safety risk', 'interrelationships']"
5,"['early risk', 'aggregate risk', 'infrastructures', 'paramount', 'aggregate', 'unit', 'insufficient']"
6,"['different risk', 'save', 'theoretically', 'predicting', 'families']"
7,[]
8,"['construction project', 'struction project', 'political risk', 'enterprises', 'stability', 'factor analysis', 'confirmatory factor analysis', 'the confirmatory factor analysis', 'preliminary', 'regulatory']"
9,"['quantified risk', 'proposed risk', 'drought risk', 'annual risk', 'fed', 'globe', 'crisis', 'neural', 'neural network', 'globe', 'fed', 'reliability analysis', 'crisis']"
10,['the built environment']
11,"['collapse risk', 'A risk', 'ie', 'collaborative', 'insight', 'reinforced concrete']"
12,"['mega project', 'better risk', 'site risk', 'construction risk', 'active risk', 'principal', 'agency', 'external', 'mechanisms', 'governance', 'cooperative']"
13,"['potential risk', 'socio', 'water resources management', 'agricultural', 'variety']"
14,"['collapse risk', 'preliminary risk', 'entropy', 'rough set', 'status', 'preliminary']"
15,"['construction project', 'struction project', 'modular project', 'developed risk', 'impact risk', 'classical risk', 'the analytical hierarchy process', 'designers', 'fit', 'tolerance', 'interactions', 'considerations', 'classical', 'onsite', 'innovative', 'fit', 'validation', 'analytical hierarchy process', 'assemblies']"
16,"['large project', 'safety risk', 'The risk', 'workshop', 'status', 'half', 'innovative', 'half']"
17,"['qualitative risk', 'implementing risk', 'partial']"
18,"['agency', 'variety', 'intervene', 'organization', 'management tool', 'reliance', 'percent']"
19,"['Customs risk', 'customs risk', 'status', 'customs', 'mining', 'customs']"
20,"['safety risk', 'seismic risk', 'yield', 'iii', 'risk management framework']"
21,"['construction project', 'struction project', 'safety risk', 'aggregate risk', 'based risk', 'reliable risk', 'installation risk', 'popular', 'platform', 'challenge', 'images', 'installation', 'aggregate', 'online']"
22,[]
23,"['total risk', 'Total risk', 'crash risk', 'car', 'driver', 'driver']"
