Words
['TAR']
[]
[]
['Weibull']
[]
['CFA']
"['fed', 'CC', 'Correlation', 'Curve']"
[]
[]
"['Society of Civil Engineers', 'American Society of Civil Engineers', 'Society']"
[]
"['Analysis', 'SPA', 'U.', 'recognition']"
"['Society of Civil Engineers', 'American Society of Civil Engineers', 'Society', 'Improper']"
[]
[]
"['Management', 'Safety']"
['Customs']
['CC']
['recognition']
[]
[]
['Method']
['CITSMIP']
[]
[]
"['DEMATEL', 'Building Information Modelling', 'Building Information', 'IBS', 'Method']"
"['linear', 'Natech']"
[]
[]
['NPV']
[]
"['Society of Civil Engineers', 'American Society of Civil Engineers', 'Society', 'DVR', 'TIC']"
"['FAHP', 'AHP']"
[]
[]
[]
[]
"['Management', 'Safety']"
[]
"['PPP', 'SNA']"
"['Analysis', 'SPA']"
[]
[]
[]
['RCP']
['PPP']
[]
"['CPM', 'facilitate']"
"['Society of Civil Engineers', 'American Society of Civil Engineers', 'Coastal', 'Society', 'WTP', ""people's""]"
